friends	1	0.012345679012345678
doggone	1	0.012658227848101266
spiderbomb	1	0.013888888888888888
isras	1	0.014492753623188406
disillusion	1	0.015625
chickens	1	0.015625
moles	1	0.015625
turtle	1	0.01639344262295082
termination	1	0.01639344262295082
hugs	1	0.016666666666666666
rainbows	1	0.01694915254237288
below	1	0.01694915254237288
oviraptor	1	0.01694915254237288
carmageddon	1	0.017241379310344827
bloks	1	0.017543859649122806
doodledoo	1	0.017857142857142856
gnomes	1	0.017857142857142856
gun	1	0.01818181818181818
zero	1	0.01818181818181818
titan	1	0.018867924528301886
tighten	1	0.018867924528301886
insert	1	0.018867924528301886
purge	1	0.019230769230769232
coincide	1	0.020833333333333332
igor	1	0.022222222222222223
eidetic	1	0.022727272727272728
sushido	1	0.023255813953488372
kaboom	1	0.024390243902439025
pagefault	1	0.024390243902439025
guillotine	1	0.02531645569620253
emmy	1	0.025974025974025976
sal	1	0.025974025974025976
temporal	1	0.02702702702702703
penitentiary	1	0.02702702702702703
screens	1	0.02702702702702703
id	1	0.02702702702702703
move	1	0.02702702702702703
such	1	0.027777777777777776
inheritance	1	0.027777777777777776
much	1	0.027777777777777776
bloom	1	0.028985507246376812
morph	1	0.03125
frootinis	1	0.03225806451612903
couldnt	1	0.03278688524590164
wagon	1	0.03333333333333333
mothersea	1	0.03333333333333333
masterhackerpro	1	0.03333333333333333
eternal	1	0.03389830508474576
chamber	1	0.03389830508474576
charging	1	0.03389830508474576
phone	1	0.03389830508474576
2015	1	0.03389830508474576
sophias	1	0.034482758620689655
spirits	1	0.034482758620689655
statues	1	0.03571428571428571
hannah	1	0.03571428571428571
chk	2	0.037037037037037035
bang	1	0.037037037037037035
mortal	1	0.037037037037037035
metanoia	1	0.037037037037037035
otherside	1	0.037037037037037035
dartmoor	1	0.03773584905660377
finch	1	0.03773584905660377
kidnap	1	0.03773584905660377
because	1	0.03773584905660377
circle17	1	0.0379746835443038
shred	1	0.038461538461538464
liquid	1	0.038461538461538464
bacon	1	0.038461538461538464
fm	1	0.038461538461538464
boom	2	0.03851851851851852
forty	1	0.03896103896103896
brother	1	0.03896103896103896
shadows	2	0.03937270603937271
mooses	1	0.043478260869565216
sleepshooter	1	0.043478260869565216
subside	1	0.044444444444444446
therapy	1	0.045454545454545456
raiden	1	0.046511627906976744
hakusan	1	0.046511627906976744
selfsacrifice	1	0.046511627906976744
inconvenient	1	0.046875
dual	1	0.046875
personality	1	0.046875
was	1	0.04878048780487805
slugmen	1	0.04878048780487805
rebellion	1	0.04878048780487805
gr1d_0	1	0.04878048780487805
remnants	1	0.04918032786885246
letterboxes	1	0.04938271604938271
adamii	1	0.05
boxbuddy	1	0.05
near	1	0.05063291139240506
experience	1	0.05063291139240506
8bit	1	0.05084745762711865
vomit	1	0.05084745762711865
tribe	1	0.05084745762711865
polygravity	1	0.05172413793103448
wastoid	1	0.05194805194805195
rodney	1	0.05194805194805195
keytar	1	0.05194805194805195
auditurgatory	1	0.05357142857142857
chronobreak	1	0.05405405405405406
veiled	1	0.05405405405405406
blade	1	0.05405405405405406
better	1	0.05405405405405406
trebuchet	1	0.05405405405405406
kitty	1	0.05454545454545454
ashen	1	0.05660377358490566
killed	1	0.057692307692307696
tibbles	1	0.057692307692307696
rollolol	1	0.06172839506172839
antideath	1	0.06172839506172839
citified	1	0.0625
false	1	0.0625
double	1	0.0625
soundproof	1	0.0625
chemical	1	0.06329113924050633
eruptions	1	0.06329113924050633
bunny	1	0.06329113924050633
consternations	1	0.06329113924050633
lyssandra	1	0.06329113924050633
amplegores	1	0.06329113924050633
hopper	1	0.06451612903225806
toucan	1	0.06451612903225806
plague	1	0.06493506493506493
brolly	1	0.06557377049180328
doomshark	1	0.06666666666666667
mos	1	0.06666666666666667
shack	1	0.06666666666666667
faults	1	0.06666666666666667
our	1	0.06666666666666667
gods	1	0.06779661016949153
zoo	1	0.06896551724137931
telepathway	1	0.06896551724137931
shounen	1	0.06976744186046512
disperspective	1	0.07017543859649122
saucers	1	0.07142857142857142
willo	1	0.07246376811594203
ice	1	0.07272727272727272
powerout	1	0.07317073170731707
diagnosis	1	0.07407407407407407
hexagon	1	0.07407407407407407
taco	1	0.07547169811320754
mysterious	1	0.07692307692307693
lock	1	0.07692307692307693
77	1	0.07692307692307693
festival	1	0.07792207792207792
knockdown	1	0.078125
hell	4	0.07997886223692675
steak	1	0.08
dantes	1	0.08108108108108109
inferloop	1	0.08108108108108109
diverge	1	0.08108108108108109
rocketeer	1	0.08108108108108109
alps	1	0.08108108108108109
dynapogo	1	0.08196721311475409
apex	1	0.08333333333333333
hit	1	0.08333333333333333
uprising	1	0.08333333333333333
nom	2	0.08333333333333333
chameleon	1	0.08333333333333333
distant	1	0.0847457627118644
101	1	0.08620689655172414
department	1	0.08641975308641975
drone	1	0.08641975308641975
flippin	1	0.08695652173913043
tripod	1	0.08695652173913043
towers	1	0.08771929824561403
vital	1	0.08860759493670886
spark	1	0.08860759493670886
casino	1	0.08888888888888889
enliven	1	0.08928571428571429
synclox	1	0.08928571428571429
do	1	0.09090909090909091
echolotrate	1	0.09090909090909091
badass	1	0.09302325581395349
existence	1	0.09375
d1g1tl_dr0p	1	0.09433962264150944
hoard	1	0.09433962264150944
room	1	0.09615384615384616
dung	1	0.0967741935483871
beetle	1	0.0967741935483871
1999	1	0.09722222222222222
vacation	1	0.0975609756097561
toggld	1	0.0975609756097561
200	1	0.09836065573770492
seconds	1	0.09836065573770492
versus	1	0.09876543209876543
lone	1	0.1
howler	1	0.1
monkey	1	0.1
